dataset,k,model_type,mse,l0,explained_variance,monosemanticity_mean,monosemanticity_std,num_active_features
mnist,256,Complete,0.002706681700050831,115.9685,0.9719218015670776,0.540006494265981,0.0489355078517688,256
mnist,5,TopK-SAE,0.028696488016843796,5.0,0.7023123502731323,0.6754449989114489,0.08496488132441507,84
mnist,10,TopK-SAE,0.019862263303995133,10.0,0.7939556241035461,0.6575943304480408,0.07215643118114724,139
mnist,20,TopK-SAE,0.015166150456666947,20.0,0.8426715135574341,0.6317167141962619,0.07942371493296083,168
mnist,40,TopK-SAE,0.009392674899101257,40.0,0.9025635719299316,0.5914619491110004,0.08036341210616678,246
mnist,64,TopK-SAE,0.005984971226006747,63.9996,0.9379139542579651,0.5832808550912887,0.06864791440238506,256
mnist,128,TopK-SAE,0.0030026039011776446,124.6129,0.9688519835472107,0.5560762654058635,0.05352395963116634,256
olivetti,256,Complete,0.015131797641515732,256.0,0.4841437339782715,0.9509548540227115,4.375977464571656e-08,256
olivetti,5,TopK-SAE,0.011334847658872604,5.0,0.6135851144790649,0.9511114239692688,0.0003131091603205969,5
olivetti,10,TopK-SAE,0.010476929694414138,10.0,0.6428322792053223,0.9520633767048517,0.0020296455962721437,12
olivetti,20,TopK-SAE,0.00881644245237112,20.0,0.6994397640228271,0.9514972219864527,0.0027962267932988014,24
olivetti,40,TopK-SAE,0.008846741914749146,40.0,0.6984068155288696,0.9512951702487712,0.002072696228692144,49
olivetti,64,TopK-SAE,0.013018552586436272,64.0,0.5561861991882324,0.9509548554196954,3.870314872857211e-08,64
olivetti,128,TopK-SAE,0.014769895561039447,128.0,0.4964812397956848,0.9509548535570502,3.797923867423773e-08,128
lfw,256,Complete,0.019552552010402208,256.0,0.4171902537345886,0.9502251097001135,0.0006461555322722555,256
lfw,5,TopK-SAE,0.013852099938826128,5.0,0.5871056318283081,0.9374347840036664,0.012448163908189066,7
lfw,10,TopK-SAE,0.011720691633618567,10.0,0.6506372690200806,0.934800105936387,0.010378104866655124,17
lfw,20,TopK-SAE,0.010094167082762916,20.0,0.6991195678710938,0.9304302523775798,0.018237242817865235,41
lfw,40,TopK-SAE,0.011147686272613273,40.0,0.6677169799804688,0.9349686595109793,0.022106275055652116,52
lfw,64,TopK-SAE,0.011084696281054789,64.0,0.6695946455001831,0.9450388689563699,0.00712216863477044,73
lfw,128,TopK-SAE,0.012900953450478798,128.0,0.615456759929657,0.9433894440637413,0.025051713061215185,141
