dataset,hidden_size,k_top,initialization,test_loss,dead_neurons,dead_neuron_pct,active_features,mean_activation_freq,mean_activation_strength
mnist,128,5,SAE,0.4946116514503956,103,80.46875,25,0.039060548,0.2059647822380066
mnist,128,5,SAE_Init,0.42319072782993317,77,60.15625,51,0.0390625,0.23085877971321928
mnist,128,5,Complete,0.14305546458344906,84,65.625,44,0.039061066,0.20353315042501147
mnist,128,10,SAE,0.4270593002438545,103,80.46875,25,0.07812253,0.15368275642395018
mnist,128,10,SAE_Init,0.33382738679647445,53,41.40625,75,0.078125,0.17065406779448192
mnist,128,10,Complete,0.14086069574113935,62,48.4375,66,0.078125,0.4184771118064721
mnist,128,20,SAE,0.3315537512302399,96,75.0,32,0.15612032,0.11979261646047235
mnist,128,20,SAE_Init,0.2456859391182661,33,25.78125,95,0.1562487,0.1265092850515717
mnist,128,20,Complete,0.09597520245006308,40,31.25,88,0.15624999,0.5866924024779688
mnist,128,30,SAE,0.2931913238018751,90,70.3125,38,0.23031172,0.09954841729057462
mnist,128,30,SAE_Init,0.18437224328517915,31,24.21875,97,0.23431264,0.11027047091845385
mnist,128,30,Complete,0.07246578709455206,40,31.25,88,0.23436955,0.5246097144501453
mnist,128,40,SAE,0.27340540029108523,86,67.1875,42,0.23853374,0.09339745183076177
mnist,128,40,SAE_Init,0.15820327997207642,36,28.125,92,0.31177735,0.10102517550568217
mnist,128,40,Complete,0.05780325636151247,41,32.03125,87,0.30258465,0.7586733134484839
mnist,128,50,SAE,0.2693558305501938,85,66.40625,43,0.2424155,0.09145905250726744
mnist,128,50,SAE_Init,0.14747942257672547,34,26.5625,94,0.3852573,0.09307107341257816
mnist,128,50,Complete,0.0517372683796566,38,29.6875,90,0.34996733,0.7823429846101337
mnist,128,60,SAE,0.2648897938430309,84,65.625,44,0.24730821,0.09040513600815427
mnist,128,60,SAE_Init,0.13703522849828004,28,21.875,100,0.4426504,0.08856317415833473
mnist,128,60,Complete,0.04664796101860702,30,23.4375,98,0.36280704,0.5087497387537543
mnist,128,70,SAE,0.2567387193441391,82,64.0625,46,0.25365782,0.08883513380651889
mnist,128,70,SAE_Init,0.15914893820881842,44,34.375,84,0.38131797,0.09526904681254
mnist,128,70,Complete,0.05303295093472116,43,33.59375,85,0.3519556,1.2098010478650822
mnist,128,80,SAE,0.26465321108698847,84,65.625,44,0.24741706,0.08959813703867522
mnist,128,80,SAE_Init,0.17170180194079876,52,40.625,76,0.35771498,0.09814330705098416
mnist,128,80,Complete,0.058449850656325,53,41.40625,75,0.3344599,1.6635636313756308
mnist,128,90,SAE,0.2602920413017273,83,64.84375,45,0.25226563,0.08865271591477925
mnist,128,90,SAE_Init,0.18181899152696132,57,44.53125,71,0.33882982,0.10014388794210595
mnist,128,90,Complete,0.06158349703764543,57,44.53125,71,0.3218146,1.8220628667885148
mnist,128,100,SAE,0.2693743802607059,85,66.40625,43,0.24198452,0.09015914780455966
mnist,128,100,SAE_Init,0.18373317494988442,58,45.3125,70,0.34160677,0.10006834151489394
mnist,128,100,Complete,0.06255978266126476,58,45.3125,70,0.31847906,1.8460917353630066
mnist,128,110,SAE,0.27037485092878344,85,66.40625,43,0.2464383,0.08891829952251079
mnist,128,110,SAE_Init,0.18651833944022655,59,46.09375,69,0.33713308,0.09959313359813414
mnist,128,110,Complete,0.06256382238352672,58,45.3125,70,0.31733435,1.8385791744504656
mnist,128,120,SAE,0.2701746575534344,85,66.40625,43,0.24081877,0.08989694818507793
mnist,128,120,SAE_Init,0.184331464022398,58,45.3125,70,0.33402437,0.09976955242455006
mnist,128,120,Complete,0.06235542350332253,58,45.3125,70,0.31980637,1.831098302773067
mnist,256,5,SAE,0.465247405320406,224,87.5,32,0.01953125,0.22605422465130687
mnist,256,5,SAE_Init,0.3899272680282593,172,67.1875,84,0.01953125,0.2436679190113431
mnist,256,5,Complete,0.12846084400080143,181,70.703125,75,0.01953099,0.2089124509692192
mnist,256,10,SAE,0.3822686932981014,216,84.375,40,0.039062306,0.16206937935203314
mnist,256,10,SAE_Init,0.3100906886160374,152,59.375,104,0.0390625,0.18308564834296703
mnist,256,10,Complete,0.1186924806679599,160,62.5,96,0.039062433,0.2405257593297089
mnist,256,20,SAE,0.27883759066462516,206,80.46875,50,0.07812005,0.1229733307659626
mnist,256,20,SAE_Init,0.24737385250627994,137,53.515625,119,0.07812494,0.12453472213584836
mnist,256,20,Complete,0.08301310145761817,149,58.203125,107,0.0781209,0.35750354993566175
mnist,256,30,SAE,0.20444255731999875,188,73.4375,68,0.11707507,0.10573314272743814
mnist,256,30,SAE_Init,0.18387862779200076,148,57.8125,108,0.11716224,0.10834743251541147
mnist,256,30,Complete,0.06512217256240546,155,60.546875,101,0.11717422,0.8365032523501628
mnist,256,40,SAE,0.17015206664800644,172,67.1875,84,0.15483177,0.09174435046900596
mnist,256,40,SAE_Init,0.14864588305354118,141,55.078125,115,0.1561095,0.09510441254014554
mnist,256,40,Complete,0.05441207702970132,159,62.109375,97,0.15536049,1.2840015724608578
mnist,256,50,SAE,0.14040269199758768,154,60.15625,102,0.1915845,0.08187755792602605
mnist,256,50,SAE_Init,0.11932028569281102,121,47.265625,135,0.19471061,0.08809205213630641
mnist,256,50,Complete,0.04480954850441776,132,51.5625,124,0.18820918,1.4103491842566478
mnist,256,60,SAE,0.12294657528400421,144,56.25,112,0.22125813,0.07942133228893258
mnist,256,60,SAE_Init,0.10570331662893295,111,43.359375,145,0.2325379,0.08192049037536671
