dataset,hidden_size,k_top,aux_loss,test_loss,dead_neurons,dead_neuron_pct,active_features,mean_activation_freq
mnist,128,10,No,0.4270593002438545,103,80.46875,25,0.07812253
mnist,128,10,Yes,0.1483063932042569,105,82.03125,23,0.07811497
mnist,256,10,No,0.3822686932981014,216,84.375,40,0.039062306
mnist,256,10,Yes,0.13398291610646992,216,84.375,40,0.039057225
olivetti,256,10,No,0.45262964566548664,219,85.546875,37,0.0390625
olivetti,256,10,Yes,0.0029105343855917454,225,87.890625,31,0.0390625
olivetti,512,10,No,0.435616801182429,460,89.84375,52,0.01953125
olivetti,512,10,Yes,0.002815451705828309,475,92.7734375,37,0.01953125
olivetti,1024,10,No,0.43785326679547626,969,94.62890625,55,0.009765625
olivetti,1024,10,Yes,0.002867212907100717,979,95.60546875,45,0.009765625
lfw,512,10,No,0.44983550906181335,480,93.75,32,0.01953125
lfw,512,10,Yes,0.006753175565972924,486,94.921875,26,0.01953125
lfw,1024,10,No,0.45295044481754304,980,95.703125,44,0.009765625
lfw,1024,10,Yes,0.006664461363106966,981,95.80078125,43,0.009765625
lfw,2048,10,No,0.6560575902462006,1949,95.166015625,99,0.0048828125
lfw,2048,10,Yes,0.007007322367280721,1949,95.166015625,99,0.0048828125
